Requirement,Applicable,State,Justification,Control,Test,Evidence,Owner
v5.0.0-V3.4.5,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.4.6,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.5.1,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.5.2,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.5.3,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.5.4,Não,N/A,Dashboard e API são componentes da mesma aplicação e usam uma única origem pública.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V3.5.5,Não,N/A,A aplicação não usa a interface postMessage.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V3.7.1,Sim,Pass,"Vue, cookies de sessão e headers Nginx/Helmet implementam o controle no browser.",Vue escaping; cookie __Host HttpOnly/SameSite/Secure; Helmet/Nginx headers,auth.test.js; cookies.test.js; appSecurity.test.js; ZAP,"07a876b, c492b8d; run 30087971980",Projeto
v5.0.0-V3.7.2,Não,N/A,A aplicação não redireciona automaticamente para hostname externo.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V4.1.1,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.1.2,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.1.3,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.2.1,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.3.1,Não,N/A,A aplicação não expõe GraphQL.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V4.3.2,Não,N/A,A aplicação não expõe GraphQL.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V4.4.1,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.4.2,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V4.4.3,Não,N/A,O WebSocket reutiliza o access token da sessão padrão; não há token dedicado alternativo.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V4.4.4,Sim,Pass,"Nginx, Express e Socket.io aplicam o contrato HTTP/WebSocket e os limites de transporte.","Nginx como edge único; Express/Socket.io com CORS, framing e WSS externo",appSecurity.test.js; socketServer.test.js; smoke/ZAP TLS,"461ebda, c492b8d; run 30087971980",Projeto
v5.0.0-V5.1.1,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.2.1,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.2.2,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.2.3,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.3.1,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.3.2,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.4.1,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.4.2,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V5.4.3,Não,N/A,"Não há upload, download ou geração de arquivo a partir de entrada não confiável.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.1.1,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.1.2,Sim,Pass,A política versionada define lista contextual e validação obrigatória antes do hash.,"Denylist contextual, mínimo de 15 caracteres no provisionamento administrativo e Argon2id",securityDocumentation.test.js,84e22a5; docs/security/password-policy.md,Projeto
v5.0.0-V6.1.3,Não,N/A,Existe um único caminho de autenticação local.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.1,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.2,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.3,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.4,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.5,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.6,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.2.7,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.2.8,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.2.9,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.2.10,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.2.11,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.2.12,Não,N/A,A aplicação não permite cadastro nem definição/alteração de senha; principals são provisionados externamente.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.3.1,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.3.2,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.3.3,Sim,Pass,Produção exige senha e TOTP com prevenção de replay do mesmo código.,"Argon2id, TOTP obrigatório, janela limitada e contador persistido",auth.test.js; totp.test.js; security.test.js,48a1891; run 30111549157,Projeto
v5.0.0-V6.3.4,Não,N/A,Existe um único caminho de autenticação local.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.4.1,Não,N/A,"Não há senha inicial, recuperação de senha ou recuperação de MFA na aplicação.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.4.2,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.4.3,Não,N/A,"Não há senha inicial, recuperação de senha ou recuperação de MFA na aplicação.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.4.4,Não,N/A,"Não há senha inicial, recuperação de senha ou recuperação de MFA na aplicação.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.5.1,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.5.2,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.5.3,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.5.4,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.5.5,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.6.1,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.6.2,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.6.3,Não,N/A,"Não há OTP, TOTP, lookup secret, SMS ou autenticação out-of-band.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.8.1,Não,N/A,"Não há IdP externo, federação ou SAML.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.8.2,Sim,Pass,Fluxo explícito de login e testes de autenticação demonstram o controle.,"Argon2id, login explícito, limite 5/15min e resposta genérica",auth.test.js; security.test.js; auth store/router tests,"b571828, 07a876b",Projeto
v5.0.0-V6.8.3,Não,N/A,"Não há IdP externo, federação ou SAML.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V6.8.4,Não,N/A,"Não há IdP externo, federação ou SAML.",N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V7.1.1,Sim,Pass,Timeout absoluto e por inatividade são configurados e documentados.,"Sessão persistida com expiresAt, lastActivityAt e limite de inatividade validado a cada uso",auth.test.js; security.test.js,48a1891; run 30111549157,Projeto
v5.0.0-V7.1.2,Sim,Pass,O limite de sessões concorrentes é configurado e a sessão excedente mais antiga é revogada.,"SESSION_MAX_CONCURRENT com revogação determinística por principal",auth.test.js; security.test.js,48a1891; run 30111549157,Projeto
v5.0.0-V7.1.3,Não,N/A,Não há ecossistema de identidade federada.,N/A,Inspeção de aplicabilidade,CSV oficial + inventário do projeto,Projeto
v5.0.0-V7.2.1,Sim,Pass,"Tokens aleatórios, rotação/revogação e UI de logout demonstram o controle.","Refresh opaco 256-bit, hash, rotação atômica, replay revoke e logout",auth.test.js; auth.test.js do Dashboard,"b571828, 07a876b",Projeto
v5.0.0-V7.2.2,Sim,Pass,"Tokens aleatórios, rotação/revogação e UI de logout demonstram o controle.","Refresh opaco 256-bit, hash, rotação atômica, replay revoke e logout",auth.test.js; auth.test.js do Dashboard,"b571828, 07a876b",Projeto
